subject,country,age,gender,education,ses,ethnicity,religiosity,cnorm_mean,denom_lump,wb_phys_mean,wb_psych_mean,wb_soc_mean,wb_overall_mean
1,Australia,41,Male,4,4,East Asian,-0.4714452369673272,0.22238377254952568,No denomination,2.85714285714286,2.16666666666667,2.33333333333333,2.55555555555556
2,Australia,31,Male,5,6,East Asian,0.7290325100793354,0.22238377254952568,Christian,3.57142857142857,3,3.33333333333333,3.33333333333333
3,Australia,26,Female,5,5,Caucasian/European,-0.9832999039914558,0.22238377254952568,No denomination,3.85714285714286,2.16666666666667,2.33333333333333,3
5,Australia,21,Male,5,5,East Asian,-1.1060949811610148,0.22238377254952568,No denomination,4.28571428571429,3,2,3.38888888888889
6,Australia,28,Female,5,4,East Asian,0.023378858973675504,0.22238377254952568,Buddhist,4.28571428571429,3.66666666666667,3.66666666666667,3.94444444444444
7,Australia,49,Male,3,5,Caucasian/European,-0.8021903989593926,0.22238377254952568,No denomination,3.28571428571429,3,3,3.22222222222222
8,Australia,23,Female,3,5,Caucasian/European,-1.1090872159482474,0.22238377254952568,No denomination,2.57142857142857,1.16666666666667,2,2
9,Australia,23,Female,2,4,Caucasian/European,-0.9144640670857954,0.22238377254952568,No denomination,3.71428571428571,2.5,2,3.05555555555556
10,Australia,18,Female,4,7,Caucasian/European,-0.9190010065544859,0.22238377254952568,No denomination,2.85714285714286,3,3,3.05555555555556
11,Australia,22,Male,5,5,South Asian,0.8905119464829231,0.22238377254952568,Christian,3,3.16666666666667,3.33333333333333,3.11111111111111
12,Australia,20,Female,4,7,Mixed / other,-0.9832999039914558,0.22238377254952568,No denomination,4,4.5,4,4.27777777777778
13,Australia,42,Female,3,6,Caucasian/European,0.7896036365054575,0.22238377254952568,Christian,4.28571428571429,4,3.66666666666667,4.05555555555556
14,Australia,18,Female,5,7,Middle-Eastern/Arab,-0.4570011142156354,0.22238377254952568,Muslim,4.42857142857143,3.66666666666667,3,3.88888888888889
15,Australia,26,Female,5,5,South Asian,0.0016800634457391495,0.22238377254952568,Buddhist,4.14285714285714,4.16666666666667,4.66666666666667,4.11111111111111
16,Australia,36,Female,3,8,Caucasian/European,-1.102201836568569,0.22238377254952568,No denomination,3.57142857142857,3.83333333333333,4.66666666666667,3.88888888888889
