participant_id,religion,age,choice
id_1,8,70,safe
id_2,2,70,safe
id_3,7,22,risky
id_4,3,51,safe
id_5,5,23,safe
id_6,6,68,risky
id_7,4,63,safe
id_8,5,79,risky
id_9,7,26,risky
id_10,3,43,risky
id_11,2,37,safe
id_12,7,36,safe
id_13,3,61,safe
id_14,3,29,risky
id_15,4,42,safe
id_16,8,66,risky
id_17,5,64,risky
id_18,4,39,risky
id_19,3,49,risky
id_20,3,79,safe
id_21,5,80,risky
id_22,7,23,risky
id_23,7,66,risky
id_24,7,64,safe
id_25,4,24,safe
id_26,7,41,safe
id_27,6,49,risky
id_28,5,56,safe
id_29,6,23,risky
id_30,3,28,safe
id_31,0,37,safe
id_32,4,67,risky
id_33,4,28,risky
id_34,3,67,safe
id_35,4,61,risky
id_36,5,75,risky
id_37,2,79,risky
id_38,6,68,risky
id_39,7,58,safe
id_40,7,30,risky
id_41,4,45,safe
id_42,6,46,risky
id_43,7,71,safe
id_44,5,44,risky
id_45,2,70,risky
id_46,5,42,risky
id_47,8,31,safe
id_48,5,58,safe
id_49,4,74,risky
id_50,7,67,risky
id_51,2,45,safe
id_52,6,60,safe
id_53,7,72,safe
id_54,3,33,risky
id_55,7,60,risky
id_56,3,33,risky
id_57,6,67,safe
id_58,5,57,risky
id_59,3,63,safe
id_60,5,42,risky
id_61,0,24,risky
id_62,8,39,safe
id_63,5,27,risky
id_64,4,27,risky
id_65,6,74,risky
id_66,3,33,safe
id_67,8,68,risky
id_68,6,80,risky
id_69,2,43,safe
id_70,4,21,safe
id_71,4,21,risky
id_72,8,66,safe
id_73,6,35,risky
id_74,6,58,safe
id_75,4,58,risky
id_76,6,80,safe
id_77,4,27,risky
id_78,4,43,risky
id_79,2,37,safe
id_80,4,70,safe
id_81,3,70,safe
id_82,6,20,safe
id_83,4,51,safe
id_84,6,80,safe
id_85,8,44,safe
id_86,3,30,safe
id_87,6,65,safe
id_88,2,52,risky
id_89,7,20,safe
id_90,3,63,safe
id_91,7,36,safe
id_92,5,38,risky
id_93,1,50,risky
id_94,3,41,safe
id_95,8,76,safe
id_96,2,21,risky
id_97,1,23,risky
id_98,6,65,safe
id_99,0,69,risky
id_100,3,59,safe
id_101,7,56,safe
id_102,8,45,risky
id_103,4,28,safe
id_104,5,58,risky
id_105,4,67,safe
id_106,3,26,risky
id_107,2,29,safe
id_108,3,28,safe
id_109,5,61,safe
id_110,3,64,safe
id_111,4,52,risky
id_112,4,19,risky
id_113,2,64,risky
id_114,2,39,risky
id_115,7,20,risky
id_116,2,37,risky
id_117,4,43,risky
id_118,6,47,risky
id_119,6,73,safe
id_120,3,18,safe
id_121,7,50,risky
id_122,5,33,safe
id_123,4,43,safe
id_124,0,70,safe
id_125,4,33,safe
id_126,5,76,safe
id_127,3,29,safe
id_128,4,37,risky
id_129,7,42,safe
id_130,5,47,safe
id_131,3,56,safe
id_132,5,49,safe
id_133,3,65,safe
id_134,2,57,safe
id_135,7,54,risky
id_136,0,62,risky
id_137,5,69,safe
id_138,4,80,safe
id_139,6,76,safe
id_140,5,67,safe
id_141,6,30,safe
id_142,6,49,risky
id_143,7,24,risky
id_144,5,57,safe
id_145,6,32,risky
id_146,3,62,risky
id_147,6,43,risky
id_148,2,22,risky
id_149,6,58,risky
id_150,3,71,safe
id_151,3,22,risky
id_152,5,68,risky
id_153,3,32,safe
id_154,5,79,risky
id_155,4,66,safe
id_156,9,34,risky
id_157,1,63,safe
id_158,4,23,risky
id_159,7,31,safe
id_160,8,46,risky
id_161,3,78,safe
id_162,6,43,risky
id_163,8,71,risky
id_164,7,49,safe
id_165,2,65,risky
id_166,4,65,risky
id_167,5,60,risky
id_168,6,78,risky
id_169,6,80,safe
id_170,4,77,safe
id_171,5,27,risky
id_172,7,19,risky
id_173,7,45,risky
id_174,3,29,safe
id_175,6,44,safe
id_176,2,38,risky
id_177,2,55,safe
id_178,6,59,safe
id_179,3,21,risky
id_180,7,75,safe
id_181,2,37,safe
id_182,7,53,safe
id_183,7,19,safe
id_184,7,30,safe
